id,name,genre
0114709,Toy Story,Animation
0113497,Jumanji,Action
0113228,Grumpier Old Men,Comedy
0114885,Waiting to Exhale,Comedy
0113041,Father of the Bride Part II,Comedy
0113277,Heat,Action
0114319,Sabrina,Comedy
0112302,Tom and Huck,Adventure
0114576,Sudden Death,Action
0113189,GoldenEye,Action
0112346,The American President,Comedy
0112896,Dracula: Dead and Loving It,Comedy
0112453,Balto,Animation
0113987,Nixon,Biography
0112760,Cutthroat Island,Action
0112641,Casino,Biography
0114388,Sense and Sensibility,Drama
0113101,Four Rooms,Comedy
0112281,Ace Ventura: When Nature Calls,Adventure
0113845,Money Train,Action
0113161,Get Shorty,Comedy
0112722,Copycat,Crime
0112401,Assassins,Action
0114168,Powder,Drama
0113627,Leaving Las Vegas,Drama
0114057,Othello,Drama
0114011,Now and Then,Comedy
0114117,Persuasion,Drama
0112682,The City of Lost Children,Fantasy
0115012,Shanghai Triad,Crime
0112792,Dangerous Minds,Biography
0114746,Twelve Monkeys,Mystery
0112431,Babe,Comedy
0112637,Carrington,Biography
0112818,Dead Man Walking,Crime
0112286,Across the Sea of Time,Adventure
0113442,It Takes Two,Comedy
0112697,Clueless,Comedy
0114279,Richard III,Drama
0112819,Dead Presidents,Action
0114272,Restoration,Biography
0113855,Mortal Kombat,Action
0114681,To Die For,Comedy
0113347,How to Make an American Quilt,Comedy
0114369,Se7en,Crime
0114148,Pocahontas,Animation
0114916,When Night Is Falling,Drama
0114814,The Usual Suspects,Crime
0113819,Mighty Aphrodite,Comedy
0110299,Lamerica,Drama
0112499,The Big Green,Comedy
0113158,Georgia,Drama
0113321,Home for the Holidays,Comedy
0110877,Il Postino: The Postman,Biography
0112714,The Confessional,Drama
0113419,The Indian in the Cupboard,Drama
0116260,Eye for an Eye,Crime
0113862,Mr. Holland's Opus,Drama
0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy
0118002,Two If by Sea,Comedy
0115683,Bio-Dome,Comedy
0116839,Lawnmower Man 2: Beyond Cyberspace,Action
0113149,French Twist,Comedy
0113118,Friday,Comedy
0116367,From Dusk Till Dawn,Action
0113010,Fair Game,Action
0113537,Kicking and Screaming,Comedy
0113828,Les Misérables,Drama
0115644,Bed of Roses,Romance
0114367,Screamers,Sci-Fi
0113973,Nico Icon,Documentary
0112744,The Crossing Guard,Drama
0116731,The Juror,Drama
0112445,The White Balloon,Drama
0114660,Things to Do in Denver When You're Dead,Crime
0112379,Antonia's Line,Comedy
0114039,Once Upon a Time... When We Were Colored,Drama
0113612,Last Summer in the Hamptons,Comedy
0112365,Angels and Insects,Drama
0118158,White Squall,Adventure
0116151,Dunston Checks In,Comedy
0115697,Black Sheep,Comedy
0113972,Nick of Time,Action
0117002,Mary Reilly,Drama
0114825,Vampire in Brooklyn,Comedy
0115639,Beautiful Girls,Comedy
0115759,Broken Arrow,Action
0113403,A Midwinter's Tale,Comedy
0113247,La Haine,Crime
0111173,Shopping,Action
0113283,Heidi Fleiss: Hollywood Madam,Documentary
0115907,City Hall,Drama
0115734,Bottle Rocket,Comedy
0117102,Mr. Wrong,Comedy
0118040,Unforgettable,Drama
0116483,Happy Gilmore,Comedy
0112579,The Bridges of Madison County,Drama
0117110,Muppet Treasure Island,Action
